link,description,id
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8969717/2019/3/28/e448c9a1-3a0f-40e7-b267-1bf44a44ba501553778956208-Indo-Era-Beige-Solid-Straight-Kurta-Sets-9801553778954623-1.jpg",Indo Era Women Beige & Pink Yoke Design Kurta with Palazzos & Dupatta,16
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10808318/2019/10/30/81951e94-65d7-4963-8079-d6dc0af6b4a21572428669911-AHIKA-Women-Kurtas-4981572428668232-1.jpg",AHIKA Women Sea Green & White Printed Straight Kurta,17
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9658675/2019/5/27/5866fc9e-ae67-4134-ae76-ab8731b443ac1558954938814-Indo-Era-Navy-Blue-Printed-Anarkali-Kurtas-2491558954937750-1.jpg",Indo Era Women Navy Blue & Off-White Printed A-Line Kurta,18
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10736436/2019/10/5/d700c1a2-8064-4ad7-96e0-bd4965c21cf91570278209279-Yuris-Women-Yellow-Printed-Straight-Kurta-2701570278205933-1.jpg",Yuris Women Yellow & Red Bandhani Printed Straight Kurta,19
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11174228/2020/1/10/499528c5-22ea-471d-a772-01dcf96670421578656865205-Sangria-Women-Kurtas-8631578656863441-1.jpg",Sangria Women White & Navy Blue Printed Straight Kurta,20
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10808324/2019/10/31/4452bfa4-151d-4a0f-8d80-523a2bb076811572503364525-AHIKA-Women-Kurtas-4521572503363288-1.jpg",AHIKA Women Black & Pink Printed Straight Kurta,21
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10885078/2019/11/21/7bcebac3-e62a-4b04-b77d-6137daeef6a81574346823453-Indo-Era-Solid-Straight-Kurta-with-Palazzo-Dupatta-Set-30815-1.jpg",Indo Era Women Green & Beige Solid Kurta with Striped Palazzos & Stole,22
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7556592/2018/10/5/71a71cb4-2624-4c31-9e8b-f4a6d50f7fa81538730496528-Vishudh-Women-Mustard-Printed-Straight-Kurta-7311538730496309-1.jpg",Vishudh Women Mustard Printed Straight Kurta,23
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10382607/2019/8/20/a96e4a30-5c63-4f11-be5c-4035f89099d31566281416933-Soch-Women-Kurtis-5711566281416062-1.jpg",Soch Women Blue Solid A-Line Kurta,24
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2496602/2018/10/15/585db255-ba6b-4207-b63d-7f0ea6f730601539586510379-HERENOW-Women-Burgundy--White-Printed-Straight-Kurta-2641539-1.jpg",HERE&NOW Women Burgundy & White Printed Straight Kurta,25
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/10/17/9499e79e-ba1e-408b-88cf-049d7184ff5b1571284951456-1.jpg",Indibelle Women Turquoise Blue Printed Straight Kurta,26
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10480912/2019/9/3/88c1488a-a50e-4693-a3fa-3e3c0d4415051567498497816-Inddus-Women-Maroon--Mustard-Yellow-Woven-Design-Kurta-with--1.jpg",Inddus Women Maroon & Mustard Yellow Woven Design Kurta with Palazzos & Dupatta,27
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10768518/2019/10/25/5bd3e7cb-e48c-4e31-8272-387a1a7f67951571985737475-Fabindia-Women-Kurtas-1681571985735182-1.jpg",Fabindia Women Green & Golden Handblock Print A-Line Kurta,28
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9329399/2019/4/24/8df4ed41-1e43-4a0d-97fe-eb47edbdbacd1556086871124-Libas-Women-Kurtas-6161556086869769-1.jpg",Libas Women Navy Blue Block Print Straight Kurta,29
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7156696/2018/8/16/6aba666c-f72f-4ba5-a619-c30997225dce1534400511956-na-8931534400511655-1.jpg",Vishudh Women White & Navy Blue Printed Anarkali Kurta,30
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11066882/2020/1/13/7c708a55-fcee-45a4-901d-da0dffa5cb491578911582522-Popnetic-Women-Green--Golden-Printed-Straight-Kurta-71015789-1.jpg",Popnetic Women Green & Golden Printed Straight Kurta,31
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11008616/2020/1/27/862b707a-97f1-43ff-a346-ed9923143bd11580121636502-Sztori-Women-Green-Solid-Straight-Kurta-2041580121635287-1.jpg",Sztori Women Green Solid Semi Sheer Straight Kurta,32
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/5812816/2018/5/26/1e6fb71a-89fd-46b8-81cd-43b4f80b57c81527315971015-HERENOW-Women-Kurta-Sets-7351527315970777-1.jpg",HERE&NOW Women Grey Solid Kurta with Palazzos,33
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11056866/2019/12/9/67a0d919-cbca-4d89-a8f1-6a25c9e9305c1575891613300-Round-NeckWith--34th-Sleeve-Straight-Floral-print-Crepe-Kurt-1.jpg",ZIYAA Women Black & Green Printed Kurta with Trousers,34
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8944837/2020/1/23/49892000-9110-4f57-aa3d-830440440ad91579772449539-Sangria-Women-Navy-Blue-Embroidered-Straight-Kurta-679157977-1.jpg",Sangria Women Navy Blue & Golden Striped Straight Kurta,35
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11281426/2020/1/24/a5e20b49-46b3-4a7e-89eb-8b4180a38aea1579849583338-House-of-Pataudi-Women-Navy-Blue--White-Embroidered-Straight-1.jpg",House of Pataudi Women Navy Blue & White Embroidered Straight Kurta,36
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10949214/2019/12/5/90d65f5b-b9b9-4c97-ada8-a2f53d7b73891575528107989-Fabindia-Women-Kurtas-6841575528105303-1.jpg",Fabindia Women Pink & Green Printed Slim Fit A-Line Kurta,37
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9861609/2019/6/10/8ad62ae5-dbd7-461e-a10d-e90ddbc0541a1560174280379-Vaamsi-Women-Kurtas-7511560174278985-1.jpg",Vaamsi Women Green & Red Printed Straight Kurta,38
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/2/c4497927-fb07-4d43-8d54-21b6d2ec4eb71575310680777-1.jpg",Naari Women White Embroidered Straight Calf-Length Pure Cotton Kurta,39
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11283202/2020/1/22/bf99cd1b-4a77-4ed8-b17d-5f23c747dafa1579687689770-Global-Desi-Women-Kurtas-2101579687688768-1.jpg",Global Desi Women Off-White & Pink Printed A-Line Kurta,40
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10489876/2019/9/12/fd4ce9b3-d4f2-429e-8b3d-856ec36e982f1568285958884-Fabindia-Women-Kurtas-861568285957297-1.jpg",Fabindia Women Brown & Golden Printed Straight Kurta,41
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2463738/2018/2/23/11519378307497-AKS-Women-Navy--Off-White-Printed-Straight-Kurta-9971519378307264-1.jpg",AKS Women Navy & Off-White Printed Straight Kurta,42
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10779494/2019/11/2/9e216bb2-23f9-4e07-8f82-6c804d4deb4b1572680245009-Indo-Era-Foil-Printed-Straight-Kurta-with-Palazzo-Dupatta-Se-1.jpg",Indo Era Women Navy Blue & Gold-Toned Foil Print Kurta with Palazzos & Dupatta,43
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2110558/2018/4/13/11523617167748-Vishudh-Women-Black--Gold-Toned-Printed-Straight-Kurta-9041523617167566-1.jpg",Vishudh Women Black & Gold-Toned Printed Straight Kurta,44
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8073459/2018/12/8/0ed3624b-d10e-4cef-a076-dfe4a5e1e1631544262284377-Libas-Women-Kurtas-7861544262283817-1.jpg",Libas Women Maroon Yoke Design Straight Kurta,45
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7763545/2018/11/10/0214bd7f-5858-4f05-981e-f01d2b7000bf1541837943062-NAARI-Women-White-Chikankari-Kurta-8391541837942951-1.jpg",NAARI Women White Woven Designed Kurta,46
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10449872/2019/9/5/26a5c9c5-9d4f-45a8-9529-6aa4e242deb41567664788319-Fabindia-Women-Kurtas-7381567664787129-1.jpg",Fabindia Women Navy Blue & White Dyed Straight Kurta,47
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/1/12/dbf09b35-18f4-4655-a395-c3bdf8954f1c1578779872324-1.jpg",Melange by Lifestyle Women Yellow & White Yoke Design A-Line Kurta,48
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8076903/2018/12/8/fb0cf882-a473-4aae-86c2-edf912b70b6e1544251004970-AKS-Women-Kurta-Sets-2261544251003921-1.jpg",AKS Women Blue & Grey Printed Kurta with Palazzos,49
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7264762/2018/9/1/eb17b2f7-096f-436d-a714-039c7ade655c1535780580312-na-6241535780580109-1.jpg",Azira Women Lime Green Embroidered Straight Kurta,50
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10817978/2019/10/23/972a94ba-d86e-479f-b61a-718a33a122521571832674206-SIAH-Women-Kurta-Sets-5131571832671476-1.jpg",SIAH Women Maroon & Grey Solid Kurta with Trousers & Dupatta,51
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10374327/2019/10/30/74eff209-0787-4496-8805-0918cbffd5c71572430932137-Soch-Women-Kurtis-9541572430930912-1.jpg",Soch Women Black & Gold Printed Straight Kurta,52
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/6/18/27217ac7-e7b6-4707-a1dc-590278e393a11560881456693-1.jpg",Vishudh Women Grey & Gold-Toned Printed Kurta with Palazzos,53
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2388909/2018/1/15/11515994464628-Libas-Women-Black--Maroon-Printed-A-Line-Kurta-3451515994464496-1.jpg",Libas Women Maroon Solid A-Line Kurta with Printed Longline Ethnic Jacket,54
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8990261/2019/3/13/64add7c0-9215-4d70-91e9-1025376524571552474058383-Varanga-maroon-foil-printed-a-line-kurta-3361552474056933-1.jpg",Varanga Women Maroon & Golden Printed A-Line Kurta,55
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/6630422/2018/6/5/c3ec87e8-ddd8-40bf-b93b-9e42e2442f3a1528197512504-na-1071528197512277-1.jpg",Vishudh Women Blue & Silver-Toned Printed Straight Kurta,56
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10736440/2019/10/5/050c413b-b52c-4ae8-a134-7b1a104c6dc21570278218575-Yuris-Women-Red--White-Printed-Straight-Kurta-88115702782161-1.jpg",Yuris Women Red & White Bandhani Printed Straight Kurta,57
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/1/28/359fbce6-91eb-43bd-a00f-d66739ca64e01580173067064-1.jpg",Colour Me by Melange Women Red Printed Straight Kurta,58
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/1/28/b3133d5c-762d-4c53-b0c5-931c5ca5f9f81580167206791-1.jpg",Melange by Lifestyle Women Peach-Coloured & Red Printed A-Line Kurta,59
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1221544/2016/3/30/11459312259773-Moda-Rapido-Green-Printed-Kurta-2301459312257553-1.jpg",Moda Rapido Green Printed Kurta,60
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9594091/2019/5/16/69b582c9-b81e-4fc2-8dc0-fe5e4fbd8e3d1557991682226-Jompers-Women-Blue--Black-Printed-Handloom-Straight-Kurta-30-1.jpg",Jompers Women Blue & Black Printed Handloom Straight Kurta,61
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/27/c27e8849-4ef9-4b3c-a7d5-fbda37fcac501574854149745-1.jpg",Janasya Women Green & Pink Printed A-Line Kurta,62
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10768488/2019/11/1/2f5b2cb4-507e-4c6b-84b5-ece0552554af1572586119795-Fabindia-Women-Kurtis-9141572586118578-1.jpg",Fabindia Women Orange Mukaish-Work Straight Kurta,63
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1991317/2017/8/9/11502276600620-Libas-Women-Maroon-Solid-A-Line-Kurta-6521502276600462-1.jpg",Libas Women Maroon Solid A-Line Kurta,64
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10382777/2019/8/26/c228c0fd-e031-407e-8aee-9e778a0e3e271566808010556-AHIKA-Women-Kurtas-3991566808009528-1.jpg",AHIKA Women Green & Maroon Crepe Printed Straight Kurta,65
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9369515/2019/5/8/bfa1ab5c-7c68-4f05-8fbd-00c68c55dd0f1557310799131-Myshka-Women-Kurtis-2971557310797579-1.jpg",Myshka Women Pink Yoke Design A-Line Kurta,66
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7099014/2018/8/17/fdf90cc7-643e-4285-966e-cfa7beb137391534486550441-Libas-Women-Kurtas-2521534486550311-1.jpg",Libas Women Black & Grey Striped Straight Kurta,67
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11369600/2020/1/30/84ddcda3-ff69-49e1-ae0a-2bdc9af415431580387780630-W-Women-Lime-Green-Solid-Straight-Kurta-4411580387779613-1.jpg",W Women Lime Green Solid Straight Kurta,68
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/1/28/a7045635-fdfe-4eaf-ba41-6bc45b1ddebe1580168383268-1.jpg",Melange by Lifestyle Women Coral Pink Embroidered A-Line Kurta,69
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11097090/2019/12/13/c6a874ed-4e56-4c89-9d5a-683dc7f05d441576236530510-Sringam-Women-Blue--White-Printed-Kurta-with-Trousers-411157-1.jpg",Sringam Women Blue & White Printed Kurta with Trousers,70
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/2/4/c5f915b2-eb81-48d9-ae3d-09ae39debf1c1580769404814-1.jpg",Rasada Women Pink & Cream-Coloured Printed Straight Kurta,71
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2102195/2018/11/21/9d3197f0-2b12-4050-bfaa-d75560fed48d1542777790820-Vishudh-Women-Teal-Blue-Printed-A-Line-Kurta-9661542777790645-1.jpg",Vishudh Women Navy Blue Printed A-Line Kurta,72
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9119957/2019/4/10/d3f86cc4-215c-4514-80b1-ccc36d740b911554896172943-Fabindia-Women-Grey--Black-Checked-Straight-Kurta-9631554896-1.jpg",Fabindia Women Grey & Black Slim Fit Checked A-Line Kurta,73
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11303220/2020/1/17/07aaf203-bedf-4438-a0e3-ab1907dffd6e1579259862950-Libas-Women-Green-Yoke-Design-Straight-Kurta-764157925986083-1.jpg",Libas Women Green Yoke Design Straight Kurta,74
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10382575/2019/8/20/a3eed951-4e65-4e5a-a177-c77fdba134cb1566294168213-Soch-Women-Kurtis-7031566294167374-1.jpg",Soch Women Navy Blue Solid A-Line Kurta,75
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8557505/2019/1/24/78130c7a-0a9d-4dd3-888e-181f4ed21edf1548328076404-Pannkh-Women-Kurtas-531548328075003-1.jpg",Pannkh Women Green & White Printed Straight Kurta,76
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/19/21183af2-1c83-47f4-ae47-a266448174741574162658626-1.jpg",Soch Women Green Yoke Design Straight Kurta,77
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11276012/2020/1/20/e4b7e7f9-bc1e-4e6b-94dd-4af0c46569731579501977830-AHIKA-Women-Black--Off-White-Printed-Straight-Kurta-22115795-1.jpg",AHIKA Women Black & Off-White Printed Straight Kurta,78
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2526076/2018/3/9/11520583817821-GERUA-Women-Kurtas-5741520583817647-1.jpg",GERUA Women Grey Solid Straight Kurta,79
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/9/17/4fc9c248-6cb4-4f16-8cf9-734366b5554f1568711761934-1.jpg",Napra Women Magenta Embroidered Straight Kurta,80
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11270304/2020/1/20/d1ca2732-d3e8-42ac-b740-59f3903037981579512701706-Ritu-Kumar-Women-Navy-Blue--Beige-Printed-Kurta-with-Skirt---1.jpg",Ritu Kumar Women Navy Blue & Brown Printed Kurta with Sharara & Dupatta,81
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10942370/2019/11/19/3cfdd561-ad23-4ee4-8187-de635252a15e1574150056042-Anubhutee-Women-Navy-Blue--Off-White-Yoke-Design-Kurta-with--1.jpg",Anubhutee Women Navy Blue & Off-White Yoke Design Kurta with Palazzos,82
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9252963/2019/4/17/a57ef3e6-fd14-4ba9-95b6-3a77fe98c2ef1555492586760-anayna-Women-Green--Pink-Printed-Straight-Kurta-288155549258-1.jpg",anayna Women Sea Green & Pink Printed Straight Kurta,83
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10960738/2020/1/9/5fa7407a-2536-42fc-8ad1-ba4ed91db6721578545832735-Anouk-Women-Kurta-Sets-4381578545830992-1.jpg",Anouk Women Navy Blue Solid Kurta with Trousers & Dupatta,84
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9861607/2019/6/10/1dccc596-9c1d-4a84-98ca-54aa3287b1fa1560164181577-Vaamsi-Women-Kurtas-9131560164180287-1.jpg",Vaamsi Women Black & White Printed Straight Kurta,85
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11369674/2020/1/31/0b3983de-1365-43da-a1eb-03c218fc5e101580456063726-W-Women-Navy-Blue--White-Striped-Straight-Kurta-331580456062-1.jpg",W Women Navy Blue & White Striped Straight Kurta,86
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9861569/2019/6/10/ecd642f2-59a0-4bf6-ae93-c324803180dd1560166594474-Vaamsi-Women-Kurtas-2221560166592645-1.jpg",Vaamsi Women Pink & White Printed Straight Kurta,87
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10382863/2019/8/26/7042b36b-a7cb-42bd-8e1b-ed8a5b3e21af1566822556354-AHIKA-Women-Navy-Blue--Pink-Printed-Straight-Kurta-627156682-1.jpg",AHIKA Women Navy Blue & Pink Printed Straight Kurta,88
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9824947/2019/5/27/bb55778d-e2be-4e7d-8a7d-a1a54b79cc7a1558959711177-Kiaasa-Women-Multicoloured--Multicoloured-A-Line-Kurta-83115-1.jpg",Kiaasa Women Red Checked A-Line Kurta,89
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10555734/2019/9/4/367dfb7f-6b68-4681-bac9-0a1199cc7b6b1567585778376-Black-printed-half-sleeves-multi-slit-straight-cotton-kurta--1.jpg",Nayo Women Black & White Printed Straight Kurta,90
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2528325/2018/3/15/11521096428996-Libas-Women-Kurtas-871521096428801-1.jpg",Libas Women Mustard Yellow & Blue Printed A-Line Kurta,91
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10453556/2019/8/16/39756c35-8632-444b-8d27-8b573d090c351565938236604-Napra-Kurta-491565938235264-1.jpg",Napra Women Magenta Yoke Design Straight Kurta,92
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10808272/2019/10/30/5a8714bc-bef0-4f18-9fe6-ca27b5be69c61572436729830-AHIKA-Women-Kurtas-241572436727174-1.jpg",AHIKA Women Navy Blue & Off-White Printed Straight Kurta,93
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11369648/2020/1/31/6ecad825-0b01-4139-a971-5df96ae479a61580451782450-W-Women-Blue-Striped-A-Line-Kurta-8221580451780936-1.jpg",W Women Navy Blue Striped A-Line Kurta,94
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10817650/2019/11/11/3ac2e501-67e7-40bc-ad64-f1fbae8ebc3c1573456254095-ksut-white-and-black-striped-handloom-straight-kurta-3601573-1.jpg",KSUT Women Charcoal Grey & White Striped Handloom Straight Kurta,95
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8420261/2019/4/2/e2921d5b-97c1-45a9-9bf7-0ccc27b272e01554201419723-Round-Neck-Straigth-Printed-Kurta-Along-With-Pant-And-Chiffo-1.jpg",Sangria Women Maroon & Mustard Yellow Printed Kurta with Trousers & Dupatta,96
