link,description,id
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10742616/2019/10/4/a2d8fafb-b10f-4048-9718-d5655902adef1570187836005-Nayo-Women-Mustard--Off-White-Striped-Straight-Kurta-9791570-1.jpg",Nayo Women Orange & Off-White Striped Straight Kurta,0
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10317835/2019/8/8/7f0cbbd4-d267-4973-842b-7d679fe573991565264655604-Jaipur-Kurti-Women-Kurta-Sets-8541565264654171-1.jpg",Jaipur Kurti Women Navy Blue Yoke Design Kurta with Trousers,1
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10808284/2019/10/30/c35d059d-a357-4863-bcb1-eacd8c988fb01572422803188-AHIKA-Women-Kurtas-8841572422802083-1.jpg",AHIKA Women Green & Off-White Printed Straight Kurta,2
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11275352/2020/1/16/3c9f19fa-0ad2-462e-ac74-db51d093ad441579161401418-ADA-Women-Yellow--White-Chikankari-Hand-Embroidered-Semi-She-1.jpg",ADA Women Yellow & White Chikankari Hand Embroidered Semi-Sheer Straight Kurta,3
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10374343/2019/9/17/ef7b3359-ba88-4efa-b43d-d415d7aabfdd1568701682662-Soch-Women-Kurtis-8591568701681762-1.jpg",Soch Women Navy Blue & Grey Dyed Straight Kurta,4
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10555300/2019/9/17/88aa707b-f094-42f9-8c10-bced44abbe881568702649429-Soch-Black-Rayon-Kurti-5031568702648249-1.jpg",Soch Women Black Yoke Design A-Line Kurta,5
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11056142/2019/12/5/2e6e2e66-7a92-43d6-85c7-a91351020b9a1575540765499-AHIKA-Women-Maroon--Beige-Printed-Straight-Kurta-48115755407-1.jpg",AHIKA Women Maroon & Beige Printed Straight Kurta,6
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11369492/2020/1/31/24df200b-ba42-40d2-acef-79204c7072f41580451454659-W-Women-Navy-Blue--Silver-Toned-Embroidered-Straight-Kurta-2-1.jpg",W Women Navy Blue & Silver Embroidered Straight Kurta,7
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11079296/2019/12/23/23419d54-7c3f-4ddb-9452-f34a7f7815011577102160896-Soch-Women-Navy-Blue--Gold-Coloured-Printed-Straight-Kurta-4-1.jpg",Soch Women Navy Blue & Gold-Coloured Printed Straight Kurta,8
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2045956/2017/8/21/11503314373233-HERENOW-Women-Kurtas-4901503314373097-1.jpg",HERE&NOW Women Navy Yoke Design A-Line Kurta,9
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/9/19/c9d848c9-0361-4841-930e-eb2dbc94f4071568876692297-1.jpg",Aayna Women Beige Self Design Kurta with Trousers,10
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/19/5b35cd23-a09b-44f2-af81-cd84841495361574181592700-1.jpg",Soch Women Lime Green & Off-White Woven Design Straight Kurta,11
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/6/19/0323a4d2-d1d6-4885-af78-d6d901484dc51560919038748-1.jpg",YASH GALLERY Women Black Printed A-Line Kurta,12
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11369748/2020/1/30/648021b3-d099-4d2c-8870-506313bf05d21580386114786-W-Women-Teal-Solid-Straight-Kurta-9631580386113218-1.jpg",W Women Teal Green Solid Straight Kurta,13
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11283212/2020/1/22/8cb6cb16-03a1-471d-9129-828c903ea7131579687702937-Global-Desi-Women-Kurtas-7441579687701745-1.jpg",Global Desi Women Teal Blue & Red Printed Straight Kurta,14
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/19/1b465055-6a6d-4373-9e1e-af43675738791574141024252-1.jpg",Soch Women Off-White & Blue Printed A-Line Kurta,15
